dataset,record_id,subject_id,segment_id,candidate_id,start_timestamp,end_timestamp,duration_seconds,peak_activity_score,sensor_id,manual_label,confidence,reviewer_notes,allowed_label_values
COUGH,Trial_3_Nonverbal,17,COUGH_Trial_3_Nonverbal_IMU_seg0056,COUGH_Trial_3_Nonverbal_IMU_seg0056_c0016,706.3,706.89,0.5900000000000318,0.0906998800933686,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,14,COUGH_Trial_1_No_Talking_IMU_seg0013,COUGH_Trial_1_No_Talking_IMU_seg0013_c0007,67.817,70.796,2.9790000000000134,0.0892861781695851,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_3_Nonverbal,13,COUGH_Trial_3_Nonverbal_IMU_seg0010,COUGH_Trial_3_Nonverbal_IMU_seg0010_c0001,1.977,2.463,0.486,0.0666654249172628,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,5,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0013,126.161,126.779,0.617999999999995,0.2880825778580763,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_3_Nonverbal,11,COUGH_Trial_3_Nonverbal_IMU_seg0007,COUGH_Trial_3_Nonverbal_IMU_seg0007_c0010,54.915,55.372,0.4570000000000007,0.1071046459892557,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_2_Talking,9,COUGH_Trial_2_Talking_IMU_seg0005,COUGH_Trial_2_Talking_IMU_seg0005_c0015,104.439,105.698,1.2590000000000003,0.0671340167818217,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_3_Nonverbal,17,COUGH_Trial_3_Nonverbal_IMU_seg0056,COUGH_Trial_3_Nonverbal_IMU_seg0056_c0008,646.3,646.81,0.5099999999999909,0.156716773667741,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_2_Talking,9,COUGH_Trial_2_Talking_IMU_seg0005,COUGH_Trial_2_Talking_IMU_seg0005_c0014,102.686,103.172,0.48599999999999,0.2111916043196034,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,5,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0007,50.127,50.705,0.5779999999999959,0.0663334366934764,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_3_Nonverbal,11,COUGH_Trial_3_Nonverbal_IMU_seg0007,COUGH_Trial_3_Nonverbal_IMU_seg0007_c0032,182.411,183.881,1.4699999999999989,0.1484646633344024,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,5,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0011,82.462,82.958,0.4959999999999951,0.0678889532477176,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,14,COUGH_Trial_1_No_Talking_IMU_seg0013,COUGH_Trial_1_No_Talking_IMU_seg0013_c0010,96.995,98.526,1.5309999999999917,0.0635676721890479,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_2_Talking,17,COUGH_Trial_2_Talking_IMU_seg0018,COUGH_Trial_2_Talking_IMU_seg0018_c0002,558.96,559.68,0.7199999999999136,0.3291693619326177,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,14,COUGH_Trial_1_No_Talking_IMU_seg0013,COUGH_Trial_1_No_Talking_IMU_seg0013_c0012,105.065,106.352,1.287000000000006,0.0486320057746231,IMU,,,,artifact / likely_fetal / uncertain
COUGH,Trial_1_No_Talking,14,COUGH_Trial_1_No_Talking_IMU_seg0013,COUGH_Trial_1_No_Talking_IMU_seg0013_c0002,9.359,10.099,0.7400000000000002,0.0333024050319067,IMU,,,,artifact / likely_fetal / uncertain
